Record sequence,Record Identifier,Line Number,Branch Code,Location Code,Date,Time,Pos/User ID,Receipt number,Invoice number,Customer number,Quantity,Quantity multiplier,Unit price,Unit cost,Extended amount,PLU/SKU,Discount amount Exclude GST,Discount percentage Include GST,Discount reason code,Return reason code,GST amount,GST rate,Sales tax amount,Sales tax rate,GST flag,Sales tax flag,Line Status,Selling price incl GST,Extended amount incl GST,Discount amount incl GST,Division code,Department code,Class code,Brand code,Category code,Season code,Style code,Colour code,Size Code,Original Line Status,Loyalty card expiry date,Original invoice number,Serial number,Global tax rate,Sales person code,Tour code,Tour operator commission rate,Promotion Code,Manual Docket Number,Warranty Duration,Repair Job Number,Original Sale Branch,Model,Service Plan Key,Sale sub-line,Colour,Size
"sl000001","SL","","63","63","20150615","19:17:41","0001","115","","","1","1","","","","L0078RO9Y9","0","0.00","","","","7.000","0","0","T","T","T","107","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000002","SL","","63","63","20150613","06:40:14","0001","114","","","1","1","","","","BRO120182657","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000003","SL","","63","63","20150612","10:41:52","0001","113","","","1","1","","","","BRO120182157","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000004","SL","","63","63","20150617","09:23:36","0001","126","","","1","1","","","","BRO120182490","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000005","SL","","63","63","20150617","02:48:54","0001","125","","","1","1","","","","BRO120182490","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000006","SL","","63","63","20150617","00:09:48","0001","124","","","1","1","","","","BRO120182157","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000007","SL","","63","63","20150617","00:08:06","0001","123","","","1","1","","","","BRO120182157","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000008","SL","","63","63","20150616","23:31:06","0001","122","","","1","1","","","","BRO120182490","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000009","SL","","63","63","20150616","23:28:48","0001","121","","","1","1","","","","BRO120182657","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000010","SL","","63","63","20150616","11:39:29","0001","119","","","1","1","","","","BRO120182157","0","0.00","","","","7.000","0","0","T","T","T","202.23","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000011","SL","","63","63","20150616","22:19:04","0001","120","","","1","1","","","","BRO120182157","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000012","SL","","63","63","20150616","11:23:02","0001","118","","","1","1","","","","BRO120182490","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000013","SL","","63","63","20150615","19:17:41","0001","115","","","1","1","","","","C01099FRFC","0","0.00","","","","7.000","0","0","T","T","T","149.8","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000014","SL","","63","63","20150615","19:17:41","0001","115","","","1","1","","","","M0080Z1B49","0","0.00","","","","7.000","0","0","T","T","T","58.85","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000015","SL","","63","63","20150605","06:13:02","0001","112","","","2","2","","","","BRO120182657","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000016","SL","","63","63","20150605","06:13:02","0001","112","","","1","1","","","","BRO120182657","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000017","SL","","63","63","20150605","06:13:02","0001","112","","","1","1","","","","BRO120182657","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000018","SL","","63","63","20150529","18:21:39","0001","109","","","1","1","","","","W00918CYVW","0","0.00","","","","0","0","0","T","T","T","10700","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000019","SL","","63","63","20150529","18:53:21","0001","110","","","1","1","","","","Y0081TT6SI","0","0.00","","","","0","0","0","T","T","T","49.5","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000020","SL","","63","63","20150604","20:34:11","0001","111","","","1","1","","","","BRO120182657","0","0.00","","","","0","0","0","T","T","T","189","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000021","SL","","63","63","20150529","17:37:44","0001","106","","","1","1","","","","M0080Z1B49","0","0.00","","","","0","0","0","T","T","T","55","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000022","SL","","63","63","20150526","16:53:59","0001","101","","","1","1","","","","L0078RO9Y9","0","0.00","","","","0","0","0","T","T","T","100","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000023","SL","","63","63","20150615","19:17:41","0001","115","","","1","1","","","","BRO120182490","0","0.00","","","","7.000","0","0","T","T","T","202.23","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
"sl000024","SL","","63","63","20150522","20:17:31","0001","100","","","1","1","","","","L0078RO9Y9","0","0.00","","","","7.000","0","0","T","T","T","107","","0","","","","","","","","","","","","","","","0001","","0","","","0","","","","","","",""
